Age,Income,SpendingScore,ProductViews,CartAdditions,CategoryInterest,BrandLoyalty,DiscountSensitivity,TimeOnSite,PreviousPurchases,AffinityScore
59,127113,14.738812527150445,9,9,2,0.5068641279416647,0.22346240617586222,424.5752027545444,43,0.6122932827343255
45,104085,30.703017578954167,7,7,1,0.6380351569812627,0.8335346684900279,230.98636145093852,4,0.5058035013921323
33,137996,28.88364795876192,10,8,4,0.6397133753196673,0.32054004027654037,349.6082401999851,29,0.6631805055643785
32,59220,60.81971152288209,12,5,8,0.5346985043056354,0.5802546039285064,371.5847406514674,20,0.45608211160336076
64,142755,81.85778266779546,7,2,4,0.6644334308827177,0.45055693996160795,252.16498156599567,37,0.5782159473266019
68,27642,76.37361596408635,10,9,8,0.8343453157159869,0.8784692284005959,253.18429517954357,37,0.4958262234440751
61,99971,26.9859610169312,8,4,8,0.8078311414307705,0.500968082324428,251.43977550706654,16,0.44554749648634967
69,75556,25.28573930061201,14,7,1,0.05726956073256173,0.2779976944847372,320.8361537928422,14,0.3884620238893412
20,53760,96.61336148058979,7,7,6,0.9517873193802738,0.7221447285957155,370.3025600436377,18,0.5384250778214973
54,58192,1.8153879176040524,16,4,8,0.8472007762401172,0.7673956317463555,167.86758002624964,26,0.3744082484615098
68,144257,88.09233277296137,7,4,8,0.9706024559894928,0.9346523599842966,250.9704946610858,17,0.8640783191184466
24,24381,20.77312339311809,12,5,1,0.19407938501542432,0.7462189062974993,279.44259073336,22,0.3007276269229328
38,116583,94.78114798588702,10,7,8,0.5364083114619781,0.04959038139973637,307.2563906928508,43,0.7258236502821901
26,39558,34.88842119792445,8,3,9,0.439893569139445,0.8290784757956325,301.3579241672796,8,0.2794840014068017
56,50782,44.59482561543198,10,5,6,0.37695746185469625,0.4823245541094391,306.64124307632983,18,0.2746489863368989
35,24782,71.00494078049371,10,7,7,0.4065159171076398,0.14621176094451516,238.01451690776318,38,0.31472724629357535
21,111417,59.17923609585277,12,4,6,0.9036206753524043,0.9784750843585929,260.33436687066285,46,0.7272716978254273
42,74712,32.47599364097546,10,4,5,0.6984459206413194,0.6500395976291355,298.6921831705318,36,0.4644613805070888
31,125764,55.82926067091453,4,5,1,0.3247498922248464,0.8923031547259793,341.8376310833362,1,0.5364841043769365
67,114945,73.33998155192573,10,5,2,0.37887831919797066,0.1776662096400652,248.67040167571503,30,0.6365851821795918
26,39462,5.191159644346717,7,7,2,0.4685212532524722,0.7764357394625141,309.70509835654326,31,0.4085250156031551
43,80030,2.1087312203147075,5,10,9,0.3669300013324843,0.5965089666713489,269.6989848733111,16,0.4134128296313703
19,88519,46.34862696821624,10,1,6,0.21007321024931958,0.38632585222600213,234.71276004854624,42,0.5003579824475802
37,76411,14.051825162547905,14,9,3,0.43534701880132276,0.21367340754873132,289.8585847373856,25,0.37982045821810523
45,75206,66.77008485500673,10,6,3,0.07952633733086634,0.34074807305653465,314.82701271847293,41,0.4966543349176628
64,117469,22.191193166515983,12,7,2,0.8544203664031451,0.5340882896904051,267.5522372927401,20,0.4723772055457966
24,66950,43.85225957277142,14,8,7,0.8248699132250603,0.7330370518155993,304.59814186915315,18,0.4605672029221806
61,22523,20.569422750552626,11,6,1,0.8919208679919836,0.4359445211835524,234.4595878209932,14,0.2981681061115628
25,80926,55.29987498916332,10,3,1,0.4459105452249954,0.39253744917782973,402.7190101092808,38,0.48704985202586243
64,29677,12.489292479072322,5,4,3,0.651229255326812,0.008560897470198947,295.87393442971825,40,0.3343113917946121
52,95828,3.287578425960546,16,8,1,0.8099935336698117,0.9493025258001384,340.9021787520865,3,0.5304829971614379
31,35089,6.062032172563021,15,4,3,0.31485706484486053,0.770720955695562,293.23724552038976,8,0.40426099860339315
34,24581,95.47158571001569,12,6,9,0.6333846465197152,0.9958895345381426,315.35781462961097,32,0.6533430563146618
53,31907,15.086335642482647,6,6,7,0.4382322286323094,0.92033269514294,317.0470788478023,38,0.4344913794867281
67,25609,71.13934706054668,13,5,9,0.37371065555978933,0.862985020603296,321.55618481132814,26,0.35906388662462896
57,71153,7.724694218059798,10,8,7,0.8594734997619636,0.0580827060134298,301.0927275785697,47,0.5002017441825405
21,70539,11.707874871283035,8,7,9,0.6240780375849324,0.6156112321938887,302.4714581209095,2,0.4647331035089943
19,64143,51.37874888952413,10,7,3,0.6233955180157558,0.2253551231776172,302.3092369501415,1,0.40261158040172956
23,42936,47.02222208528002,15,5,7,0.15686378221861075,0.8815437124671406,256.90728498619546,0,0.25790744997316994
59,70182,95.2064506345471,10,4,6,0.34691820445596344,0.8197684045766651,327.1890619149751,3,0.5210360819041331
21,128261,94.53870984905299,8,6,2,0.841258258126293,0.17039417555813363,294.59352588546136,18,0.697027969142512
46,131259,78.18125561170405,10,8,6,0.21349213762527797,0.7864700792820368,324.815904513406,0,0.6182455838184421
35,119524,60.60808118260763,8,6,3,0.9704636303522161,0.9869164737521717,224.16887480521757,35,0.669417998519024
43,115042,46.04107142190809,10,10,2,0.8318762170255027,0.35751271926484585,322.69816184081867,14,0.5672349093981037
61,33163,36.26167489851368,12,2,5,0.26761456059129163,0.3652438600861807,318.0916350516918,41,0.3902343101750036
51,146686,94.76166715057998,10,12,5,0.10821896892653904,0.02513106399865095,334.16106813469685,0,0.6378213850401254
27,79758,60.687972331043866,15,7,2,0.1695556890976485,0.7270209538130278,336.17551587014094,21,0.5667193747969299
53,66057,58.328180240913454,14,8,3,0.24220202698340298,0.8268991555172781,313.2983048067798,12,0.5202336280361843
31,32537,23.95821105512257,14,5,8,0.23774726868971696,0.046615075846950904,268.9091760675576,11,0.21364529485341863
48,42419,5.623083970626194,12,6,5,0.016279311887926196,0.9452849613204043,283.79959323352483,17,0.3368900281621077
65,62578,94.5736693961949,6,8,8,0.7153016190795949,0.0734691241588824,253.58390713675482,1,0.5514957950722909
32,94991,32.059790625620735,12,7,4,0.977066755194324,0.5688601323890901,271.4563449713851,44,0.5793473501183066
25,141211,44.81631330912141,13,5,4,0.2864342329450683,0.9273454751107809,321.1704307932694,46,0.6833495479752296
31,142762,12.349354414984976,12,5,6,0.01627879335025051,0.928365041780568,220.987843204333,6,0.39660183688087053
40,94599,83.85550866101991,10,7,5,0.918310107401148,0.1332599570703672,318.49101535803703,18,0.5550318313049629
57,20834,3.7355514527371323,8,9,5,0.20619983052131785,0.9713226967831452,298.2840114185312,33,0.3178744321296923
38,52214,83.56508544781056,9,6,9,0.0071541188950347,0.2704277308523033,243.63181289358758,0,0.3134679216314218
33,112934,14.888216266008712,5,5,6,0.22412246279095216,0.3416428681788929,286.8024240457413,45,0.4701996034370987
62,143798,88.76984715048405,11,9,3,0.10401591554589829,0.6751166108082459,281.1217710959005,33,0.784788459455729
35,120028,73.24749109627957,12,7,4,0.7260468402391252,0.11209351945815815,331.64518255991464,17,0.5999745956633782
64,141286,17.302355988223205,12,5,9,0.0016415783293450836,0.5342966334707812,315.34229964293,46,0.5934181637056557
41,22413,57.01598129308734,8,3,6,0.441351509828555,0.8159761853040639,262.12197624158324,4,0.37239331434967954
43,29505,31.952975121166727,8,7,8,0.49195211043306064,0.49619349378371,272.28168959324876,13,0.4089479261921286
42,140681,18.645076792246762,13,5,7,0.7842027148945,0.061059893129330134,310.60725943470453,28,0.5194650930638857
62,122802,86.05903774169973,14,3,1,0.5223643884885004,0.8050508935103132,368.79386188180604,23,0.6162369676912796
58,22105,40.94875388421571,14,7,1,0.12473753582762726,0.2402945248882994,289.41692267215615,10,0.29837613305398153
46,88104,40.45582772217287,12,5,7,0.4264802079570179,0.805634264206208,302.01069089691237,26,0.4166154343839082
32,148303,17.81878080585538,6,5,2,0.9345909157605461,0.938162041612844,236.95167286354382,21,0.6486121729787506
62,127634,38.92350193249209,11,6,9,0.2368043089124453,0.7548136908389808,288.85295713948057,44,0.4789674557697425
18,134897,87.29006778655616,7,7,9,0.2994683284436618,0.033151903456892784,252.59447666871733,10,0.5275679683860176
42,78408,36.94974233847395,6,5,2,0.8732588138925137,0.6595448866049806,366.49420784211657,20,0.5095579646678741
24,57679,95.20875268747902,7,3,9,0.7859647736068687,0.272150159991145,230.89581652946063,35,0.4596727608709882
26,136908,94.68458102163036,11,6,9,0.2955167248289037,0.1989693796079396,230.39260861655202,3,0.5623482638099264
41,134921,15.344967271427256,11,3,6,0.7083729565568953,0.7608330792432537,335.53207950991947,43,0.5182668674843437
18,119096,18.553814098741842,9,7,5,0.08511557521679602,0.28954210522873947,311.75756539131845,41,0.5088180972808247
61,99731,86.40473296285703,10,10,2,0.5429940223259239,0.1435894829999721,321.4280670066219,16,0.6315072684173824
25,132205,39.8833309735472,10,7,6,0.8709759315709663,0.1709007544134502,307.6350669429212,1,0.5286639740723021
41,85131,1.4330242460179243,12,5,9,0.842517330577973,0.6772640027018672,328.69240831274686,19,0.5378522765191902
28,84280,28.11331015083173,14,4,3,0.2028453412506993,0.4574549912172152,315.2046115756743,10,0.35537039953534455
68,35762,60.165270326360435,10,4,3,0.5331654457534472,0.20862939716442386,321.13715820542524,33,0.3220866270423271
34,137798,80.12733063003684,11,4,4,0.3984610068269152,0.07969339516721663,340.57281356132,1,0.4726276672668134
25,136854,14.205473092232696,11,5,4,0.5608556077368267,0.9372634401165557,258.53838218729476,44,0.591704205046891
52,126830,11.943595077256798,9,3,1,0.0750728488107203,0.9975297964264821,242.81696876661982,24,0.4917119610861503
52,78703,92.28717270366083,6,9,2,0.9813556438038745,0.3941720777894515,318.9432205556838,12,0.7225043655999728
50,101434,75.36368841443569,14,8,6,0.5635144388697018,0.2486932545020195,287.622097105595,16,0.49729480280350913
22,83079,59.38818047702976,12,7,5,0.11928965231085797,0.04177636616090352,262.3209367533019,31,0.40580822212257767
59,41577,77.14949220959687,9,3,4,0.642268421944959,0.3072767381566859,369.4014437955237,46,0.5015821475191331
56,21214,43.45658176935721,6,8,9,0.007713489750833524,0.5827432677052177,404.91122261717516,13,0.31299532191570917
58,106339,76.08711898360353,11,3,2,0.006467072218631409,0.5244053084213877,173.26202028443504,20,0.46476990591288125
45,68114,37.80849613617904,10,3,8,0.17914656861363332,0.41129293583837223,187.5706833761607,32,0.3708573138600737
24,109234,25.165362676767632,6,5,4,0.27092882420399234,0.3620866009951069,321.0254056674252,15,0.3696616204230684
26,83230,73.1723287080039,11,6,9,0.2631604486531808,0.9782300371278067,172.21800411620643,47,0.5679634244353529
25,143163,42.547556923569566,10,5,4,0.4431716653856965,0.5002716122907597,358.538917022237,21,0.519603405068107
29,52980,98.15633332829329,11,4,2,0.5131946821309225,0.00886346257289905,362.19691838076426,10,0.48680282760541893
51,87194,35.599033048502,16,4,6,0.42215176802355203,0.6992449266087623,298.3227838366485,28,0.5056708527131768
50,97806,92.25101463257553,7,8,9,0.37388870813432074,0.583232769265016,307.5198017042038,25,0.6088459905641861
65,132333,93.36329230814087,6,5,7,0.6701398743473544,0.15819057684887305,280.7585330379335,20,0.6359161929198685
40,57792,24.94344175940987,11,4,1,0.24833702731484886,0.708341893244085,263.91434844072035,18,0.36031414336537726
41,65807,80.02389697721333,11,6,9,0.6278065256993617,0.019893285248156256,261.9240690466242,47,0.49449381794782316
54,144297,43.87437600931195,11,3,6,0.956667539918459,0.7254218332006406,339.6237918573123,38,0.5868968554306667
52,145266,91.83494799580446,11,6,9,0.4717731943660678,0.1494395112628839,324.5963994536282,14,0.6193539940513606
61,42301,45.56230299088864,17,5,2,0.5111976200400261,0.9845573966341173,325.51482366269875,30,0.47432059097690427
57,25141,74.68606801639925,12,6,7,0.7282787194956213,0.511407425628642,386.82394390678786,41,0.5304767777235557
39,136482,47.22977350721599,10,7,8,0.5073957904681337,0.010697734448507967,288.38088039674614,49,0.597352367683712
44,124292,23.552274815572762,8,8,8,0.14390750589094714,0.8380638536104524,331.9568862382751,48,0.5473915398432303
52,142984,20.735662765523944,13,4,5,0.6107033434214247,0.824819533935216,342.53213890420056,30,0.6175575733616615
18,33777,43.11768823137821,9,6,7,0.5087734642177975,0.7633572113968997,254.3308882121894,49,0.45389838538960553
52,58346,75.79397104440727,5,10,7,0.951476551810671,0.5379424310444652,274.0938266165363,26,0.5150016535626234
54,74703,60.90207703289592,14,7,3,0.09300344159864704,0.21845030973984747,293.5645814271584,6,0.301337532205326
64,114977,69.17429970015378,11,10,2,0.536468341038835,0.6399882410041652,255.8654725279235,8,0.5713512388293243
31,67819,28.950308722462303,12,9,5,0.6169309321611369,0.8479801486074097,305.60095463939956,13,0.5352243682881549
20,48469,48.66209924980294,8,7,4,0.6198942454013211,0.4930235920405811,292.431171713718,29,0.4682041801280177
18,23845,5.395131231963373,14,5,8,0.059700722379761983,0.06714849137713275,236.06587288981348,0,0.20254671181771994
22,130186,81.93570917985394,7,7,5,0.3278307191076917,0.9752631142173858,310.4759596744004,16,0.663214123232643
43,43290,98.99932406174759,14,7,9,0.26254298568058865,0.6767265084213616,310.3831382746035,0,0.4549596942573877
31,132551,41.28102719984242,5,6,7,0.6799869619800036,0.9818864822868062,287.6362980059765,42,0.5321104710878349
56,50699,2.0854016600227916,11,7,1,0.7354121797715261,0.18699345186927652,322.3946914708744,17,0.21549033389794126
44,64252,17.80947131554379,13,7,2,0.20926939481021312,0.20339063335860552,328.378156377023,44,0.396279944870751
26,118682,65.60016089729146,10,6,8,0.8260803964617704,0.10047662480465458,236.10746776495412,23,0.5814658644947274
32,23293,61.59585250218206,6,5,8,0.48503385812388433,0.21046112175114606,260.93908147067856,44,0.273204853869775
32,138017,78.99860723896884,16,3,2,0.2629608279394592,0.10834112596482692,183.33066510999873,17,0.5495409754282279
43,139496,26.13451708514575,7,8,7,0.29975303870841263,0.2730359511534818,412.89392270796895,19,0.5712212270009466
59,129934,76.59955963916627,10,8,8,0.2635372644285936,0.5804097361004134,215.6745713428362,27,0.6451494561647232
30,77089,69.11041813084331,12,6,4,0.6044417920645636,0.8197440947173115,386.02430108032877,49,0.5833596677905389
68,131964,32.95863527367048,5,5,3,0.5270658482053552,0.09633894127480347,316.9879807962941,37,0.4056014821706534
49,36608,55.003326657639235,13,2,9,0.9387299609678159,0.15753923264897995,230.01320449197925,12,0.37124869672092925
56,148713,15.580107041334346,12,1,2,0.2736890133113843,0.28981873720095797,344.3251512875164,37,0.45063412782483153
66,86273,45.80388584012268,6,3,3,0.3191773481993673,0.3433329739894857,304.0790153574292,39,0.4818018859934748
69,36619,88.23853661600846,11,5,8,0.006477339535776783,0.8891914859285596,363.56768549430666,49,0.539991168356488
49,98006,42.697946602713685,8,4,2,0.29833868867201296,0.2267730864326003,331.89606943179126,0,0.43761696532691563
21,135399,84.11710394106677,10,5,5,0.2508800315031322,0.12792332356259095,362.747770087726,11,0.5856962822843453
47,107908,59.435083160709745,8,7,8,0.4019957398652685,0.8737498527711853,285.8252290772232,32,0.5852722087227887
54,101653,19.99579459713332,15,10,7,0.4956405720405481,0.8826952840675614,307.92992458034547,43,0.5970863756932088
40,34779,58.52951822509174,15,4,4,0.670251195807824,0.785229432085453,366.28466336016635,45,0.43196842453900786
56,71040,51.09234958654928,10,6,9,0.1918885142770732,0.38134319724954957,266.2666323669108,36,0.5068059561126538
62,114830,40.46549218444201,13,11,2,0.5564188462517122,0.9128229477560101,319.8533177870003,11,0.5545481430589316
32,76325,12.843413512090963,14,9,7,0.7286428652352198,0.4393349466300154,262.6263433815831,20,0.5151092735764615
60,135947,42.25415772087575,13,5,7,0.24118211049743932,0.7915469786266217,331.59943736492687,1,0.5143574964963388
46,41630,8.203475247723084,8,5,7,0.3512115976379826,0.4349074099443341,295.19571364820206,5,0.2751101540169572
53,125575,10.778136088476375,9,5,7,0.20511861769737438,0.4818895343079781,308.8445439508567,47,0.5049317755131276
30,135436,42.175736760338886,10,4,5,0.11103206396373899,0.860287184489594,367.4360310375249,1,0.42492117239602867
49,32178,31.232766714877908,9,6,1,0.756204064441924,0.0009421478831175278,291.7528673351333,22,0.3426674894421787
24,39935,92.62888826036013,12,5,4,0.2400635989086053,0.2739871746520217,314.4046233685872,34,0.40977446743778817
68,67258,38.19487473264678,10,7,5,0.3675686895702055,0.6438735337918895,351.1954483040049,46,0.4798078638292747
39,42784,76.0279540851379,8,4,4,0.24768684834217736,0.9219319474319155,283.74751648058725,49,0.5085933857732658
45,83722,53.49450511025803,7,7,7,0.04382466788067174,0.012548224622858428,284.39590331190254,42,0.3888052926211574
19,43027,70.70448119559121,9,5,2,0.7289903193580382,0.4642985706967033,231.10764313392275,37,0.4473267344364942
59,116544,26.75148231852452,8,6,2,0.6433299418884232,0.5164959274373487,291.13141752041247,16,0.5666344172892355
62,77853,94.24859231099458,5,7,2,0.4761260922560414,0.9993971498675541,356.80351518267344,4,0.5161440581852417
23,132167,53.47876119452797,13,7,3,0.6743359113814086,0.6971081198435846,270.4332758099874,9,0.6310196734255165
45,87359,83.30108305723972,9,4,5,0.8464998964856051,0.1263411577592003,284.1216383853692,10,0.493355882127019
45,92388,37.13952365413523,4,5,9,0.6184624913776215,0.5553485950457091,268.1129689738981,39,0.5642551301281129
61,98608,10.920923556001929,17,5,3,0.90678522519685,0.15400828657607735,231.3177463450483,30,0.4772162480122917
61,96669,67.69745312436403,10,6,6,0.20149519407637384,0.7261245244677447,273.9451259907308,2,0.45859101876672737
37,35111,1.768205185405024,9,3,6,0.8833576198857341,0.36338653256372855,286.2378941467573,22,0.32302556295947066
47,52312,48.05400467998532,12,6,6,0.5415348222537694,0.6609399532902148,391.9289639782493,30,0.43016315689919277
28,149321,20.087388363979464,7,3,5,0.8416257405472413,0.8945596083467487,292.2723044283114,48,0.7408220593612722
45,44161,63.11017493910085,12,5,2,0.7438095408977811,0.7916548486851543,321.551574431482,37,0.5124042943704606
42,138920,97.96256744064736,11,7,1,0.057639861350987864,0.7967533985669161,306.10606901922785,32,0.6842936474553538
56,124823,46.97588772574395,12,5,5,0.8377957629761962,0.28055709901596626,338.0594043038169,22,0.5441022108183815
50,145014,81.932327396041,12,5,8,0.33728848078978524,0.5910459638812893,221.85111630956868,46,0.6769360553646251
18,87313,51.27063450816098,8,7,5,0.42313524919895384,0.18769686434098054,311.4181111096671,23,0.44803312850668797
44,70374,50.08816307929838,15,7,3,0.011074536248939726,0.22100955544003176,293.0541180895042,16,0.40896591483423644
69,44014,93.111925824699,12,5,3,0.7587215275716062,0.7078346004723858,317.1200959334333,7,0.47400229792185944
30,100308,89.10662100592147,11,5,2,0.46695731052669887,0.4068688598206257,334.9509374744214,33,0.5556529175700953
58,66389,78.79424605360947,10,7,7,0.9396183107860041,0.8885507086852117,303.7081754625924,14,0.6326693083754057
20,130163,30.329319578361627,6,10,2,0.2809979464821961,0.4871771947149759,277.30713998325143,15,0.5939553891732898
56,38161,54.95583315667012,6,4,6,0.49607177865376795,0.0689785113580943,341.6134060635825,26,0.31423634554524765
23,127800,23.165826097262816,8,7,8,0.4111348370036698,0.4147229732153027,329.8701866492308,26,0.5019107096986354
25,27490,44.947753106607436,11,9,8,0.7921100117488042,0.13396730377856947,350.4159836157293,16,0.42835958038188277
44,139547,48.93709351021927,5,6,2,0.5356435392611277,0.9944817873024965,299.5982256298939,21,0.6649000564511559
26,127197,83.33236397676376,8,5,6,0.4598779315093482,0.023779437293541483,273.7421872236634,20,0.6496702294760246
54,44502,89.70680816717432,8,7,3,0.946819753907672,0.5617090054554025,391.61793913413544,4,0.5473279692640932
50,55757,42.04738617725131,10,2,9,0.37794331648662804,0.36441359451259536,255.2802355031585,37,0.40435272460423555
68,61111,2.7527400622504836,12,5,3,0.49001900648946073,0.6068764849249878,352.73041963239706,28,0.3421995629159836
59,118273,86.3156101391461,8,5,1,0.554140838179994,0.5390836906111274,352.28130444921584,5,0.5465136802438155
61,103245,18.253589171634708,12,4,9,0.05386484858456886,0.9180884115266041,332.63904129168185,10,0.3575816592522605
41,78645,62.56631442514896,9,4,8,0.5265121651585598,0.18246260698137373,297.0763975097227,25,0.4565981160098727
32,130218,3.472119142978988,9,7,2,0.33579998763100516,0.11966998486314295,310.17987500698956,39,0.5397093683746542
49,79055,40.55114105079586,10,10,3,0.650246810462248,0.8703604841369423,270.66143161119686,14,0.4644381698012312
49,139815,98.61006990941964,9,5,7,0.6436247536405311,0.9317548739809938,224.45429543338958,35,0.7544179174891207
41,28998,10.968666509276506,4,3,6,0.7112985765648949,0.3551155873484294,282.8029451775864,7,0.16365766698678208
58,48906,42.94562204796459,3,7,8,0.3991502762368071,0.956298309449935,294.2404368044396,32,0.5294845704451637
69,121026,31.407845068805265,11,6,5,0.10478761702944794,0.34284772114750883,244.263090020452,35,0.4445145109446003
66,90192,90.60372421543816,6,7,5,0.4391531982923853,0.5843995323674489,249.28837746582246,47,0.7446358236383146
66,70477,87.06467068282817,10,7,2,0.5521865160311454,0.6667187596251559,264.8353340658665,23,0.5806294167268151
69,56901,24.532177270316655,11,9,6,0.024850251207478524,0.993941242382997,303.3424146628718,7,0.4486922449436644
29,111271,9.037590917992686,10,4,5,0.5473629997844208,0.17031822437913924,337.5877097503442,31,0.3457164703568809
56,72021,63.08670101205063,10,4,9,0.3992763272725266,0.29469606307061735,305.11942555116417,23,0.3171735237076493
19,49092,34.30050247648727,11,5,3,0.4784574081551983,0.5462008964658526,409.2002672854427,18,0.3576377511513713
20,21242,67.53635467000025,10,6,5,0.3033362435038315,0.21466652764045024,289.04889021289904,34,0.3685094083161984
66,126843,4.179855850713633,10,9,3,0.49213952899143054,0.5800287734857954,300.7201159346936,22,0.537075763325507
54,21831,14.206524282571452,18,9,9,0.8818406706371703,0.7781590073813289,366.06682667867494,31,0.4750899182056153
66,70721,68.9508510444917,10,8,9,0.7878490484634785,0.8792442327316726,281.0496443415405,46,0.606015456420252
34,48511,22.02469487494728,15,4,7,0.616044178403239,0.3362284080884961,290.77989843746144,49,0.36726612980010465
66,92782,85.90117990047776,6,7,1,0.6265771060247365,0.1725544261040861,295.54915606249796,24,0.5510381551382255
19,117003,6.800497883303407,11,5,9,0.8953903751959995,0.685711783666675,341.9472540685423,16,0.5220135466205382
19,38302,22.33271629577189,14,9,9,0.47969617728696967,0.6865293582519171,311.3548771049948,0,0.26922096936356804
45,75568,99.8574646000218,17,4,5,0.5393466800594673,0.43789721952902405,294.6373805526324,40,0.4933092411807537
40,23232,43.87453415609247,12,4,2,0.8601785638861535,0.5936121351334548,321.29701889158605,47,0.4466417834288899
54,122062,70.59360069091971,4,8,1,0.7547172593087352,0.7985324887660785,260.5587035136979,41,0.6367758916485763
49,124301,19.083641836844354,5,7,2,0.4330611572483095,0.7332371763085803,332.7381243740941,38,0.6167454116324369
50,71507,61.37700476356824,10,8,4,0.3052623169036931,0.6729156434362925,359.8222064769453,47,0.437126392513906
18,144277,72.88450076857244,14,4,4,0.5178186903846146,0.661868581425024,360.2069580292581,41,0.655048311165501
36,149999,32.13318695078454,12,8,1,0.12061118318563302,0.7242093972114272,278.2850018840456,41,0.546324622588136
19,96508,83.0608140856119,8,7,8,0.6804382393486844,0.6074850386441983,213.18994803447197,16,0.5565360594444608
61,133672,60.73834026875605,8,7,8,0.46444778965861955,0.08448755938050923,389.26376873510765,43,0.5706694446677101
43,120128,39.52317795188799,11,6,8,0.5949879096016085,0.5828934762241272,250.82886812422504,16,0.5912565674116167
49,30683,56.2065969409727,13,7,5,0.8461988350150822,0.8896293081152677,302.7603897554019,27,0.6195488946335705
23,43664,58.099323896156505,12,5,2,0.35632051839038925,0.037606967338007724,318.7886213798801,24,0.29369095797267586
49,122364,17.387993976692737,12,4,4,0.4971679502096905,0.3990500887382341,199.25779639910496,17,0.415077107933681
21,140012,40.87050461682965,10,6,1,0.5556905517244798,0.392920294171095,327.59740473564284,38,0.5976915903001196
28,53172,34.99962821392982,12,7,1,0.28017485375033513,0.2540561338907571,344.54328023795733,43,0.34400245596340456
34,103641,40.68936953533348,10,4,3,0.27483572449042815,0.5745189401658225,322.8840903686501,30,0.5184406587253105
55,84340,76.34994826004053,13,4,4,0.5262224860376562,0.17062554549225728,288.3641344068028,39,0.4538125404405753
41,107236,48.771302339200595,10,7,3,0.2571631481285592,0.9163480446443242,281.945121796762,17,0.5698599779275213
